Job,Job Id,Company,Date Opened,Location,Status,Type,Owners,Description
Assistant Actuary; Commercial Strategic Programs,643172,Homesite Insurance,1-29-21,,Active,Full Time,Austin Jared,"Homesite Insurance was founded in 1997 and was one of the first
companies to enable customers to purchase home insurance directly
online; during a single visit. Since then; we've continued to
innovate rapidly to meet the needs of our customers and their
changing expectations.

One thing that's stayed the same since our founding: our
commitment to our customers; partners and employees.

Join us on our journey as we continue to grow into a powerful
contender in the field of insurance.

Homesite Underwriting Managers (HUM); the Programs Division of
Homesite Insurance; is seeking a strong individual contributor
with an extensive background in pricing various Commercial Lines
for an Assistant Actuary role. The successful candidate will be
a self-starter comfortable with ambiguity; with strong attention
to detail; an ability to work in a fast-paced; high-energy and
ever-changing environment. The candidate must have the drive to
help build out a start-up organization. This position will
report directly to the HUM Chief Actuary.Primary Roles and
Responsibilities:

* Program Pricing and Management: Work closely with Chief Actuary
and other HUM colleagues to evaluate new opportunities and manage
existing Program business.
* Complete entry and maintenance rate filings as needed
* Develop annual rate review process to ensure Programs are
priced appropriately
* Work closely with underwriters to understand what actions can
be taken to improve performance of individual Programs
* May assist in completion of quarterly reserving analyses and
plan forecasting
* Develop and maintain effective management reporting tools and
dashboards
* Functional Expertise: Bring a high level of expertise in
insurance content matters that cuts across Commercial insurance
products
Requirements

* Relevant Experience: A minimum of 5 years of professional
experience in the Property & Casualty Insurance industry.
Experience in other actuarial specialties; such as reserving; is
a plus
* Exams: Associate in the Casualty Actuarial Society (ACAS) is
preferred
* Entrepreneurial Mindset: A self-starter who can identify
business opportunities; develop a product plan to capitalize on
those opportunities; and successfully implement the plan
* Structured & Logical Thinking: The ability to identify and
define business problems and issues; and develop strategic;
analytical; and financial frameworks to conduct analyses
* Analytical Rigor: Proven capability conducting and managing
quantitative analyses.
* Powerful Communication: The ability to communicate effectively
and succinctly across a variety of media at all levels of the
company
* Teamwork and Adaptability: The ability to be flexible and work
as part of a team in ever-changing start-up environment
* Software Knowledge: Knowledge of SQL; SAS; Tableau; and/or
other programming/data query/reporting tools; in addition;
intermediate to advanced skills in Microsoft Excel is required.
Experience with geospatial application a plus.
Personal Qualifications:

The candidate selected for this position will be a creative;
out-of-the-box thinker who is intellectually curious with a
demonstrated interest in learning. This person will also need to
be a self-motivated; high-energy individual who can easily
function in a fast-paced; performance-driven environment. He/she
must be accustomed to working on multiple tasks in parallel and
committed to meeting deadlines; including some with short time
frames. This professional must be able to gain credibility with
and influence team members and management.

#LI-Remote

#LI-KM11"
Actuarial / Senior Actuarial Analyst,509025,Capital Insurance Group,11-11-20,Monterey; CA,Inactive,Full Time,Anna Kupik,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our California insurance client is seeking a Actuarial Analyst to
join its growing team. This role is based South of San Francisco;
and can be remote from Arizona; Oregon; Washington; California;
or Nevada.

In this role you will support the company's pricing; reserving;
and analytics efforts.

Responsibilities:

* Develop and implement large actuarial projects with a
high-level of freedom and responsibility
* Employ good business judgement when needed; including finding
and solving complicated business problems and communicating your
findings to company leadership
* Be a thought leader on your team with the freedom to pursue new
ideas and change the status quo
* Communicate quantitative information in an easily
understandable way across various business functions
* Trend identification for rate reviews
* Support the quarterly reserve review process
* Create and manage Tableau dashboards
Qualifications:

* Candidates can have 0-3 years of actuarial experience
* Experience in R; Python; and SQL
* Experience in Predictive Modeling
* At least two (2) Casualty Actuarial Society (CAS) exams
completed

You will really impress us if you:

* Have basic data visualization knowledge and have worked with
Tableau
* Have some experience with VBA

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuarial Analyst; Personal Lines,519761,GAINSCO,10-25-19,Dallas; TX,Inactive,Full Time,jacobgalecki,"Our Dallas personal lines client is seeking an Actuarial Analyst
to join its team. In this role you will support senior actuaries
in modeling; pricing; and reserving projects and analyses. You
should have at least one (1) year of actuarial experience;
completion of at least three (3) Casualty Actuarial Society
exams; and proficiency in SAS and SQL.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Dallas personal lines client is seeking an
Actuarial Analyst to join its team. In this role you will support
senior actuaries in modeling; pricing; and reserving projects and
analyses. You should have at least one (1) year of actuarial
experience; completion of at least three (3) Casualty Actuarial
Society exams; and proficiency in SAS and SQL.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Manager; Data Science - Personal Lines Insurance,519893,The Auto Club Group,6-4-20,Detroit; MI,Inactive,Full Time,jacobgalecki,"Our Detroit client is seeking a Data Science Manager for their
Personal Lines Business Unit. You will be managing assigned
statistical modeling activities; processes; and the team that
will design; test; validate and implement predictive models. Your
team will be crucial to the success of the business; providing
important guidance to senior leadership decision making.

Some of your responsibilities will include:

* Performing advanced quantitative analysis and mathematical or
statistical research
* Formulating and interpreting complex mathematical rate making
models
* Completing complex actuarial research relating to insurance
operations
* Analyzing technical studies / data and in order to inform your
recommendations
* Documenting; preparing; and presenting reports / exhibits as
well as results of modeling projects to senior management
* Coordinating and executing of high-level projects
* Monitoring processes related to formulating; testing;
interpreting validating and maintaining simple to complex
mathematical ratemaking models
* Analyzing simple to highly complex insurance risk factors using
mathematical and computational concepts to create models
* Providing technical guidance and leadership to your team of
modelers
* Supervising and developing modelers on your team
* Monitor results to ensure that standards are maintained and
consistent with strategic goals and objectives.
* Monitoring department budget

Qualifications:

* At least seven (7) years of insurance-related
statistical/predictive modeling experience and specifically
Property and Casualty actuarial research
* Predictive modeler knowledge and management (advanced)
* Data miner knowledge such as SAS; SQL; Emblem; R or similar
(advanced)
* Researcher of programs and modeling techniques
* Influencer of new processes and techniques
* Problem solver
* Manager and Supervisor
* Builder (program creation from scratch)
* Presenter (to peers and senior management)
* Communicator (strong oral and written skills within and outside
the company)

You will really impress us if:

* You have advanced education such as a Masters Degree or PhD in
Statistics; Mathematics; Actuarial Science or related field

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Detroit client is seeking a Data Science Manager
for their Personal Lines Business Unit. You will be managing
assigned statistical modeling activities; processes; and the team
that will design; test; validate and implement predictive models.
Your team will be crucial to the success of the business;
providing important guidance to senior leadership decision
making.

Some of your responsibilities will include:

Performing advanced quantitative analysis and mathematical or
statistical research
Formulating and interpreting complex mathematical rate making
models
Completing complex actuarial research relating to insurance
operations
Analyzing technical studies / data and in order to inform your
recommendations
Documenting; preparing; and presenting reports / exhibits as well
as results of modeling projects to senior management
Coordinating and executing of high-level projects
Monitoring processes related to formulating; testing;
interpreting validating and maintaining simple to complex
mathematical ratemaking models
Analyzing simple to highly complex insurance risk factors using
mathematical and computational concepts to create models
Providing technical guidance and leadership to your team of
modelers
Supervising and developing modelers on your team
Monitor results to ensure that standards are maintained and
consistent with strategic goals and objectives.
Monitoring department budget
Qualifications:

At least seven (7) years of insurance-related
statistical/predictive modeling experience and specifically
Property and Casualty actuarial research
Predictive modeler knowledge and management (advanced)
Data miner knowledge such as SAS; SQL; Emblem; R or similar
(advanced)
Researcher of programs and modeling techniques
Influencer of new processes and techniques
Problem solver
Manager and Supervisor
Builder (program creation from scratch)
Presenter (to peers and senior management)
Communicator (strong oral and written skills within and outside
the company)  You will really impress us if:

You have advanced education such as a Masters Degree or PhD in
Statistics; Mathematics; Actuarial Science or related field
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Catastrophe Modeler,519720,Homesite Insurance,9-29-20,Boston; MA,Inactive,Full Time,Austin Jared,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Boston client is seeking a Catastrophe Modeler who will aid
and lead a variety of catastrophe modeling and analysis
initiatives. In this role you monitor catastrophe exposure
variances; run catastrophe models; and perform analysis on
catastrophe model results in support of pricing; underwriting;
and product management. Our client is a rapidly growing digital
insurance with a great fast-paced culture and commitment to an
inclusive work environment.

Responsibilities:

* You will update; maintain; and create database queries and
structures of which are integral to team workflows
* You will provide summary reports for both internal and external
use
* You will identify catastrophes and build tools to help learn
the impact of these events
* You will provide catastrophe analysis training to fellow
team-members

Qualifications:

You have at least one (1) year of experience working in
catastrophe analysis; strong SQL competency; and have strong
programming skills in Python or R. Proficiency in RMS or AIR.

You will really impress us if:

* Experience with geospatial analysis and Geographical
Information Systems (GIS)

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Boston client is seeking a Catastrophe Modeler who will aid
and lead a variety of catastrophe modeling and analysis
initiatives. In this role you monitor catastrophe exposure
variances; run catastrophe models; and perform analysis on
catastrophe model results in support of pricing; underwriting;
and product management. Our client is a rapidly growing digital
insurance with a great fast-paced culture and commitment to an
inclusive work environment.

Responsibilities:

You will update; maintain; and create database queries and
structures of which are integral to team workflows
You will provide summary reports for both internal and external
use
You will identify catastrophes and build tools to help learn the
impact of these events
You will provide catastrophe analysis training to fellow
team-members
Qualifications:

You have at least one (1) year of experience working in
catastrophe analysis; strong SQL competency; and have strong
programming skills in Python or R. Proficiency in RMS or AIR.

You will really impress us if:

Experience with geospatial analysis and Geographical Information
Systems (GIS)
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Sr Actuarial Analyst - Specialty Lines Pricing,519721,Argo Group,3-17-20,Denver; CO,Inactive,Full Time,jacobgalecki,"Our Colorado based client is seeking a Senior Actuarial Analyst
for their Specialty Lines Pricing Team (professional lines and
cyber business). This will be a collaborative role where you will
conduct a full range of actuarial and financial analysis to
quantify performance including predictive modeling.

Skills required:
* At least two (2) years of analytical and actuarial experience
in a Property and Casualty (P&C) insurance environment
* Data work in R; SQL; Excel and PowerBI
* Experience with at least one coding language (SQL; R; Python;
SAS; VBA; etc.)
* At least three (3) CAS exams completed and in current pursuit
of ACAS

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Colorado based client is seeking a Senior
Actuarial Analyst for their Specialty Lines Pricing Team
(professional lines and cyber business). This will be a
collaborative role where you will conduct a full range of
actuarial and financial analysis to quantify performance
including predictive modeling.

Skills required:

At least two (2) years of analytical and actuarial experience in
a Property and Casualty (P&C) insurance environment
Data work in R; SQL; Excel and PowerBI
Experience with at least one coding language (SQL; R; Python;
SAS; VBA; etc.)
At least three (3) CAS exams completed and in current pursuit of
ACAS
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuarial Consultant,519814,Oliver Wyman,5-19-20,Chicago; IL,Inactive,Full Time,jacobgalecki,"Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carrier. You should have at least ten (10) years of
property & casualty actuarial experience and be an Fellow of the
Casualty Actuarial Society (FCAS). You should have a proven
history of success at developing business. Compensation scales
with your efforts and you can be based remotely from anywhere.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Actuarial Consulting Client is seeking a strong
business development Consulting Actuary to join its Property &
Casualty (P&C) Insurance Consulting team. In this role you work
directly with the partner to develop and grow their consulting
offerings to insurance carrier. You should have at least ten (10)
years of property & casualty actuarial experience and be an
Fellow of the Casualty Actuarial Society (FCAS). You should have
a proven history of success at developing business. Compensation
scales with your efforts and you can be based remotely from
anywhere.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Actuary; Specialty Lines,519771,Berkley Technology Underwriters,6-4-19,Minneapolis; MN,Inactive,Full Time,jacobgalecki,"Our Midwest client is seeking an actuary to lead in the pricing;
reserving; and modeling of property & casualty products. This
individual will own all actuarial aspects of one or more products
including analytics; reinsurance ceding; capital modeling; and
predictive modeling. Candidates should be Associates of the
Casualty Actuarial Society (ACAS) and actively pursuing their
FCAS. A minimum of seven (7) years of experience is required.
Proficiency in R and SQL preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 |
844.GALECKI.Our Midwest client is seeking an actuary to lead in
the pricing; reserving; and modeling of property & casualty
products. This individual will own all actuarial aspects of one
or more products including analytics; reinsurance ceding; capital
modeling; and predictive modeling. Candidates should be
Associates of the Casualty Actuarial Society (ACAS) and actively
pursuing their FCAS. A minimum of seven (7) years of experience
is required. Proficiency in R and SQL preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 |
844.GALECKI."
Chief Actuary; Health,519796,Gateway Health Plan,1-15-19,Pittsburgh; PA,Inactive,Full Time,jacobgalecki,
Geospatial Analyst - Catastrophe Modeling,519774,Homesite Insurance,11-6-20,Boston; MA,Inactive,Full Time,Austin Jared,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Boston client is seeking a self-starting Geospatial Analyst
who can lead a variety of catastrophe modeling; research; and
analysis initiatives. In this role you monitor catastrophe
exposure variances; run catastrophe models; and perform detailed
research supporting pricing; underwriting; and product
management. Our client is a rapidly growing digital insurance
with a great fast-paced culture and commitment to an inclusive
work environment.

Responsibilities:

* You will update; maintain; and create database queries and
structures of which are integral to team workflows
* You will provide summary reports for both internal and external
use
* You will identify catastrophes and build tools to help learn
the impact of these events
* You will provide catastrophe analysis training to fellow
team-members

Qualifications:

You have at least one (1) year of experience working in
catastrophe analysis; strong SQL competency; and have strong
programming skills in Python or R. Proficiency in RMS or AIR is
preferred. Experience with geospatial analysis and Geographical
Information Systems (GIS) is a required.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Boston client is seeking a self-starting Geospatial Analyst
who can lead a variety of catastrophe modeling; research; and
analysis initiatives. In this role you monitor catastrophe
exposure variances; run catastrophe models; and perform detailed
research supporting pricing; underwriting; and product
management. Our client is a rapidly growing digital insurance
with a great fast-paced culture and commitment to an inclusive
work environment.

Responsibilities:

You will update; maintain; and create database queries and
structures of which are integral to team workflows
You will provide summary reports for both internal and external
use
You will identify catastrophes and build tools to help learn the
impact of these events
You will provide catastrophe analysis training to fellow
team-members
Qualifications:

You have at least one (1) year of experience working in
catastrophe analysis; strong SQL competency; and have strong
programming skills in Python or R. Proficiency in RMS or AIR is
preferred. Experience with geospatial analysis and Geographical
Information Systems (GIS) is a required.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
